stimulus,List,Concrete_m,Concrete_sd,Number_of_ratings,Number_of_N-respones,Number_of_subjects
adieu,5,1.50,0.94,14,1,15
adios,1,1.83,0.94,12,3,15
adjectief,5,1.47,1.13,15,0,15
adjudant,2,2.62,1.04,13,2,15
adjunct,3,2.40,1.50,15,0,15
administrateur,5,2.73,1.10,15,0,15
administratie,5,2.20,1.26,15,0,15
administratief,5,1.80,0.94,15,0,15
admiraal,2,3.00,1.20,15,0,15
adolescent,4,3.33,0.98,15,0,15
adolescentie,3,1.73,0.96,15,0,15
adonis,4,3.00,1.11,14,1,15
adopteren,2,2.40,1.18,15,0,15
adoptie,3,2.20,1.15,15,0,15
adoptief,1,2.00,1.22,13,2,15
adorabel,3,1.67,1.05,15,0,15
adoratie,4,1.93,0.70,15,0,15
adoreren,2,2.27,1.03,15,0,15
adrenaline,2,3.27,1.22,15,0,15
adres,3,3.27,1.22,15,0,15
adresboek,4,4.53,0.64,15,0,15
adresseren,3,2.87,1.41,15,0,15
advent,4,3.07,1.38,14,1,15
adverbiaal,3,1.44,0.73,9,6,15
adverbium,2,1.67,0.82,6,9,15
adverteerder,4,3.27,1.16,15,0,15
advertentie,2,3.60,1.30,15,0,15
adverteren,2,2.53,0.99,15,0,15
advies,2,1.87,0.83,15,0,15
adviseren,4,1.87,0.74,15,0,15
adviseur,4,3.00,1.36,15,0,15
advocaat,5,3.53,1.06,15,0,15
advocaat,4,3.73,1.03,15,0,15
advocate,3,3.53,0.99,15,0,15
advocatuur,5,1.67,1.23,12,3,15
aerobic,1,4.27,0.96,15,0,15
aerobics,3,3.47,0.99,15,0,15
aerodynamisch,2,2.53,1.25,15,0,15
af,1,1.47,0.64,15,0,15
afasie,2,1.13,0.35,8,7,15
afatisch,4,1.50,0.55,6,9,15
afbakenen,2,3.27,1.28,15,0,15
afbakening,5,3.27,1.10,15,0,15
afbeelden,2,2.93,0.96,15,0,15
afbeelding,1,4.27,0.70,15,0,15
afbellen,2,2.73,0.96,15,0,15
afbetalen,3,2.27,1.10,15,0,15
afbetaling,5,2.33,1.11,15,0,15
afbeulen,2,2.93,1.07,14,1,15
